input,N,condition,mean,ci_low,ci_high,null_p95,p_empirical
raw/phmatched_gemma-4-31B-it_n7.npz,7,cycle,0.11160028604114396,0.06512169558892376,0.18169153263396742,0.18968554074293303,0.8841158841158842
raw/phmatched_gemma-4-31B-it_n7.npz,7,tree,0.028466298410788043,0.0065760554594012305,0.053936292347244674,0.2173584188444135,1.0
raw/phmatched_gemma-4-31B-it_n15.npz,15,cycle,0.18100784340189563,0.13574801331986636,0.25351684809368963,0.19682578898340022,0.3306693306693307
raw/phmatched_gemma-4-31B-it_n15.npz,15,tree,0.04060499859726061,0.014510279868016515,0.09337690637143997,0.2816371813250216,1.0
raw/phmatched_Qwen3.5-27B_n7.npz,7,cycle,0.1849655449831077,0.11911657001296934,0.24856059377707895,0.1972212659841264,0.10989010989010989
raw/phmatched_Qwen3.5-27B_n7.npz,7,tree,0.05693860084012644,0.01499975150171562,0.10954002130564255,0.1933909644603952,0.989010989010989
raw/phmatched_Qwen3.5-27B_n15.npz,15,cycle,0.24885658455638882,0.21082733219446628,0.27872888289999276,0.23433124503883007,0.008991008991008992
raw/phmatched_Qwen3.5-27B_n15.npz,15,tree,0.11327457327739351,0.06716050874139738,0.21799392538271253,0.23803714613665697,0.998001998001998
